Date Made Public,Name & Location,type,Number of Records
4/9/2008,"Norfolk's Community Services Board (Norfolk, VA)","The personal information of clients of Norfolk's Community Services Board was compromised when a case worker's briefcase was stolen. The briefcase was left in the worker's car in a Virginia Beach parking garage, but someone smashed a window and stole it. It's unclear what information was in the files but that it likely included Social Security numbers.",30
4/10/2008,"Joliet West High School (Joliet, IL)",A student using a school computer last month was able to access personal information about every student enrolled. The student allegedly downloaded a list of names and Social Security numbers to his iPod.,Unknown
4/11/2008,"New York-Presbyterian Hospital/ Weill Cornell Medical Center (New York, NY)","An admissions employee is accused of selling 2,000 patients' data in an identity theft scheme and accessing nearly 50,000 records illegitimately. Records contained names, phone numbers and, in some cases, Social Security numbers of patients. The employee has since been charged with one count of conspiracy involving computer fraud, identity document fraud, transmission of stolen property and sale of stolen property.","50,000"
4/12/2008,Allied Waste (Boston MA),A strap on the garage truck snapped sending reams of unshredded financial reports over downtown Boston streets.,Unknow
4/12/2008,"West Seneca School District (West Seneca, NY)",Several current and former students are believed to have broken into the school district?s computer system and copied secure files that included the personal information and Social Security numbers of school employees,"1,800"
4/13/2008,"University of Toledo (Toledo, OH)","Personal information of the University of Toledo employees, the majority having worked on the Health Science Campus in 1993 and 1999 - last month was inadvertently placed on a server to which all employees had access. The information, which was used for payroll purposes, included names, addresses, and Social Security numbers and was accessible for about 24 hours.","6,488"
4/14/2008,"Stokes County High Schools (Danbury, NC)","A school computer containing the names, test scores and Social Security numbers of students from three Stokes County high schools was stolen from a locked closet.",800
4/14/2008,"Utah Department of Workforce Services (Salt Lake City, UT)",A former state employee who took applications from people seeking food stamps and other welfare aid worked with three others to steal the identity of Utah residents and charge tens of thousands of dollars in purchases.,Unknown
4/15/2008,"First Federal Bank of California (Los Angeles, CA) Fiserv, Inc. (Brookfield, WI)","This bank was not the only financial institute impacted by a security breach that occurred in a banking in a ""subsystem of a financial data processor,"" Fiserv, Inc. of Wisconsin last month.The bank said that it was ""company policy"" not to reveal any details about the breach including the number of banks involved, how many customers were impacted, the depth of information breached, how extensive the breach was geographically even which federal agencies were involved. However, non-public private account information might be at risk.",Unknown
4/15/2008,"Oklahoma's Department of Corrections (Oklahoma City, OK)","The names, addresses, and Social Security numbers of tens of thousands of Oklahoma residents were made available to the general public for a period of at least three years on the ODC's website.","10,597"
4/16/2008,"Hexter Elementary School (Dallas, TX)",Employee and volunteer records were found at a recycling bin near the school. It's unknow what type of documents were found.,Unknown
4/16/2008,"University of Virginia (Charlottesville, VA)","A laptop stolen from a University of Virginia employee contained sensitive information about students, staff and faculty members. Stolen from an unidentified employee from an undisclosed location in Albemarle County, the laptop contained a confidential file filled with names and Social Security numbers.","7,000"
4/17/2008,SunGard/Connecticut State University System / Buffalo State / Northwest Missouri State University www.sungardhe.com/laptoptheft www.sungardhe.com/custom.aspx?id=1554 (866) 520-2408,"At least 18 colleges are scrambling to inform tens of thousands of students they are at risk of having their identities stolen. A laptop computer that was stolen from a vendor contained the data of current and former students from the four state universities, including Western Connecticut State University. The computer was password-protected but contained unencrypted files with personally identifiable data, including names and Social Security numbers.",Totals are not known
4/25/2008,"Baltimore Highway Administration (Baltimore, MD)","An employee transferred personnel transaction data from a secure drive to a SHA shared drive. Sensitive personal information concerning employees, included names and Social Security numbers.","1,800"
4/19/2008,"Central Collection Bureau (Indianapolis, IN)","A computer server containing Social Security numbers and other personal information was stolen last month from a Southside debt-collection bureau. The information includes customer-billing records for Indiana businesses, including Citizens Gas & Coke Utility, St. Vincent Health and Methodist Medical Group.","700,000"
4/20/2008,"Helping Homeless Veterans and Families Hoosier Veterans Foundation (Indianapolis, IN)",Hundreds of files containing medical histories and Social Security numbers were found in the trash on Indianapolis' east side. The records belong to homeless veterans. A lot of the things inside the folders are confidential information about the clients including Social Secrutiy numbers.,Unknown
4/21/2008,"Brunswick Corp. (Lake Forest, Il)","An electronic devices that scans customers' drivers' licenses to make sure they're of legal drinking age was stolen from a company-owned bowling facility in suburban Naperville. The device contains information such as driver's license number, date of birth and first and last names of customers whose licenses were scanned.",700
4/22/2008,"LendingTree (Charlotte, NC)","Outside loan companies may have accessed information, including Social Security numbers, between October 2006 and early 2008 and used it to market their own mortgages to LendingTree customers. Several former employees may have shared confidential passwords with ""a handful"" of lenders that were not approved by the company.",Unknown
4/22/2008,"University of Massachusetts (Boston, MA)","Hackers breached the computer system used by UMass Amherst's Health Services, potentially gaining access to thousands of medical records. More than half of the student population at UMass Amherst are patients on record at the University Health Services.",Unknown
4/22/2008,"HealthNow New York (Buffalo, NY)","Clients may be at risk for identity theft, after a former employees laptop computer went missing with confidential information several months ago. The potential information includes names, dates of birth, Social Security numbers, addresses, employer group names, and health insurance identifier numbers.",Unknown
4/22/2008,"Fishback Financial Corp. (Brookings, SD)","There has been an unauthorized access to one of the database servers by a third party. The database includes names, addresses and Social Security numbers.",Unknown
4/22/2008,"Central New England HealthAlliance (Leominster, MA)","Personal data could be at risk of exposure after a home health nurse reported that her handheld computer was missing. The unencrypted data include names, Social Security numbers, and health insurance records.",384
4/22/2008,"Smithtown Post Office (Smithtown, NY)",A Smithtown postal worker was arrested after he stole credit cards from the mail and went on a shopping spree.,Unknown
4/22/2008,"CollegeInvest (Denver, CO)",Customers had personal information stored on a computer hard drive that disappeared during a recent move. CollegeInvest moved to a new office space recently using an international relocation firm that offered specialists in moving computer equipment. CollegeInvest discovered while unpacking at the new location that a hard drive was missing.,"200,000"
4/23/2008,"University of Texas Health Science Center (Tyler, TX)","About 2,000 medical bills were mailed last week with patients' Social Security numbers visible on the envelope.","2,000"
4/23/2008,"Southern Connecticut State University (New Haven, CT)",Southern Connecticut State University is taking action to prevent its students from becoming victims of identity theft. The move comes after a website with student and alumni information was found to be easily accessible to hackers. It appears that no financial information was accessed but Social Security numbers were vulnerable.,"11,000"
4/24/2008,"Harmony Information Systems. (Madison, WI)",A computer program housing personal information about Wisconsin seniors and disabled people had a significant security hole. A senior center volunteer in McFarland said he could see hundreds of files of people's private information from across the country in the system run by Virginia-based Harmony Information Systems. The information is entered into an electronic record that includes the person's name and Social Security number.,Unknown
4/24/2008,"Collections Lawyers Pellegrino & Feldstein (Denville, NJ)","Consumer information somehow escaped the New Jersey law offices of and ended up posted on several websites. The Liberty Coalition discovered cached versions of an Excel file that contained the full names, Social Security numbers, dates of birth, addresses, account numbers, and financial information.",530
4/25/2008,University of Colorado at Boulder (Boulder CO),"Three computers in the Division of Continuing Education and Professional Studies were compromised, leaving people open to potential identity theft. One of the three computers had personal data, including names, Social Security numbers, addresses and grades. UPDATE (5/1/08): Upon further analysis, the University concluded that no personal data had been exposed. 9,500 records were initially thought to be comprised, but later this was revised to zero.","9,500 revised to 0"
4/25/2008,"Canton WiseBuys (Canton, NY)",Someone apparently hacked into the Canton WiseBuys store computer system during a changeover between December 5 and December 20. The hacker obtained personal identification and banking numbers of hundreds of customers.,Unknown
5/1/2008,"Cove Creek Mortgage/Front Range Mortgage (Englewood, CO)","Sensitive mortgage files with people's personal information were recently found in a Dumpster. The files and computers contained sensitive information on many former customers of Front Range Mortgage, including names and addresses, Social Security numbers and bank, credit card and investment account information.",Unknown
5/1/2008,"Lunardi's Supermarket (Los Gatos, CA)","An ATM and credit card reader in a checkout aisle at the Los Gatos Lunardi's supermarket was recently switched, resulting in cases of identity theft. Victims all had their card numbers stolen after officials from Lunardi's contacted them about a problem with one of their card readers.""It was a switched card reader at one of the aisles,"" UPDATE (8/4/08): Police arrested a man Friday that was involved with the ATM scam at a Los Gatos supermarket that lost about $300,000. He was booked into the Santa Clara County Jail in connection with burglary, conspiracy, drunken driving, and further charges may be filed later, according to the district attorney's office.",100/updated amount 250
5/2/2008,"Marine Corps Reserve Center (San Antonio, TX)","A former U.S. military contractor has pleaded guilty to exceeding authorized access to a computer and aggravated identity theft after he was accused of selling names and Social Security numbers of 17,000 military employees.","17,000"
5/5/2008,"Target America Inc./UCSF (San Francisco, CA)",Information on UCSF patients was accessible on the Internet. The information accessible online included names and addresses of patients along with names of the departments where medical care was provided. Some patient medical record numbers and the names of the patients' physicians also were available online.,"6,313 Not added to total. It is not clear if SSNs or financial account numbers were exposed."
5/5/2008,"Iredell County Tax Administration (Statesville, NC) (704) 878-3020","A courier vehicle providing services for First Citizens Bank was stolen in Charlotte. The stolen shipment contained a computer report of taxpayer's check information, including account numbers, check numbers, check amounts and routing numbers from various banks on which the checks were drawn. There were also copies of tax bills that contained taxpayer names, addresses and other public information related to tax payments.",486
5/6/2008,"Ohio State University Agricultural Technical Institute (Wooster, OH)","Personal information on faculty and staff members was accidentally emailed to about 680 students. The email contained spreadsheet information listing the names, positions, salaries and Social Security numbers.",192
5/6/2008,"International Visa Service (Atlanta, GA)",An employee has been arrested and charged with stealing the personal information of people who were applying for a passport and sold the identities on the black market.,"1,000"
5/6/2008,"Finjan (San Jose, CA)","Researchers at security vendor Finjan uncovered a server containing the sensitive email and Web-based data of thousands of people, including healthcare information, credit card numbers and business personnel documents and other sensitive data. Finjan notified more than 40 major international financial institutions located in the United States, Europe and India whose customers were compromised as well as various law enforcements around the world. Server logs contained a mountain of healthcare information, including personal data, health data, treatment, medications, insurance details, Social Security Numbers, and healthcare providers' data, including physician's name. Banking data, including credit card numbers and account login numbers were also discovered on the server.","5,878"
5/6/2008,"Northeast Security (West Haven, MA)","News Channel 8 found Social Security numbers, bank account numbers and even canceled checks inside a dumpster. The files appear to belong to Northeast Security, a subcontractor for Safe Home Security, based out of Rocky Hill. Northeast Security recently moved out of a West Haven storefront, and it seems they left their clients personal information behind.",Unknown
5/7/2008,SAIC (MD) (877) 277-8001,"SAIC stockholders are at risk of identity theft after a box of magnetic backup tapes went missing. The tapes contained names, addresses, Social Security numbers, stock account information, transaction activity and possibly bank account numbers for current or former shareholders.","4,690"
5/8/2008,"Dominican University (River Forest, IL)","Two students were able to access records on a staff network storage area. The files accessed were three spreadsheets that included the students names, addresses, phone numbers, birthdays and Social Security numbers.","5,000"
5/8/2008,"Las Cruces Public Schools (Las Cruces, NM)","A part-time computer analyst for Las Cruces Public Schools inadvertently posted personal data for 50 special education students and 1,750 district employees on the Internet. Information posted included Social Security number, date of birth, name, the nature of disability and caseworker's name.","1,800"
5/9/2008,"Princeton University Tower Club (Princeton, NJ)",Tower Club is taking steps to protect 103 of its alumni in the classes of 2006 and 2007 after a spreadsheet listing their names and Social Security numbers was e-mailed to current club members. The document was attached to an apparently unrelated e-mail that informed current members about a club event. The spreadsheet was attached unintentionally because of a technical glitch in an email program.,103
11/22/2008,"Maryland Department of the Environment (Baltimore, MD)",Two laptop computers containing the names and Social Security numbers of people formerly employed by the Maryland Department of the Environment were stolen.,"1,367"
5/12/2008,"Pfizer (New York, NY) (866) 274-3891","About 13,000 employees at Pfizer Inc., including about 5,000 from Connecticut, had their personal information compromised when a company laptop and flash drive were stolen. No Social Security numbers were on the laptop, but names, home addresses, home telephone numbers, employee ID numbers, positions and salaries were possibly compromised. Other information possibly lost included the department employees worked in, the Pfizer site where the employees worked, the name of employees? managers and descriptions of their jobs.","18,000 Not added to total. It does not seem that SSNs or financial account numbers were exposed."
5/14/2008,"Oklahoma State University (Stillwater, OK)","A breach in an Oklahoma State University computer server exposed names, addresses and Social Security numbers of students, staff and faculty who bought parking and transit services permits in the past six years.","70,000"
5/15/2008,"BB&T Insurance (Harrisonburg, VA)","A BB&T Insurance laptop containing the personnel information of some Harrisonburg City Schools employees was stolen. The laptop, used by an outside sales representative to develop an insurance proposal for the school system, was stolen from a car. The information contained names, dates of birth, Social Security numbers, and, in some cases, medical history.",Unknown
5/16/2008,"Spring Independent School District (Spring, TX)","A laptop computer containing the personal information of students was stolen from a employee?s car. The car burglars made off with her school laptop and an external flash drive. The flash drive contains students? Social Security numbers, personal information, schools those students attend, as well as their grade level and birthdates. The drive also contained the Texas Assessment of Knowledge and Skills test results.","8,000"
5/16/2008,"Greil Memorial Psychiatric Hospital (Montgomery, Al)","Index cards containing patients personal information, names, dates of birth, even Social Security numbers are gone. Hundreds of records have simply disappeared.",Unknown
5/16/2008,"Amateur Athletic Union (Lake Buena Vista, FL)",Boxes filled with personal information were found in a dumpster. Information on athletes and their guardians included Social Security numbers and copies of birth certificates.,Unknown
5/16/2008,"Chester County School District (Downingtown, PA)","A 15-year-old student gained access to files on a computer at Downingtown West High School. Private information, including names, addresses and Social Security numbers, of more than 50,000 people were accessed. The student apparently used a flash drive to save the personal data of about 40,000 taxpayers and 15,000 students.","50,000"
5/17/2008,"University of Louisville (Louisville, KY)","Documents being copied and taken from a private office in the president?s office, to its Internal Audit Office and Department of Public Safety may have resulted in a security breach. The documents contained personal information ? including Social Security numbers, student and employee identification numbers and salary information ? for current and recent student employees. The university learned of the theft when salary information was shared anonymously with some employees in the office.",20
5/20/2008,"University of Florida College of Medicine (Jacksonville, FL) (866) 876-4472","A UF assistant professor of plastic surgery at the UF College of Medicine-Jacksonville, stored unsecured digital photographs of his patients and identifying information -- such as names, dates of birth, Social Security numbers, and Medicare numbers -- on a computer. He then gave the computer to a family he was friends.","1,900"
5/20/2008,"New York University (New York City, NY)","Duke University's Fuqua School of Business is notifying former New York University students that some of their personal information was inadvertently accessible by targeted Internet searches. The personal data included names and Social Security numbers and was contained in the faculty member's research records. The information could have been accessed only if searched by specific student names, along with a search code for Social Security numbers.",273
5/21/2008,"Oklahoma Corporation Commission (Oklahoma City, OK)",The Oklahoma Corporation Commission is removing hard drives from all surplus computer equipment after a server containing the names and Social Security numbers of thousands of residents was sold at an auction.,"5,000"
5/22/2008,"HealthSpring Inc. (Franklin, TN)","A laptop computer containing personal information of about 450 state residents was stolen. The laptop, believed to contain names, dates of birth and Social Security numbers of about 9,000 individuals, was stolen from a HealthSpring employee's locked car.","9,000"
5/23/2008,"R.E. Moulton (Irving, TX)","Thieves broke intothe Irving, Texas regional office and stole a laptop computer containing personally information of numerous individuals, including names and Social Security numbers.","19,000"
5/28/2008,"University of California, San Francisco (San Francisco, CA) (415) 353-7427 PathHotline@ucsf.edu","During routine monitoring of a campus computer network, UCSF discovered unusual data traffic on one of its computers. During the investigation, UCSF determined that an unauthorized movie-sharing program had been installed on one computer by an unknown individual. Installation of this program required high-level system access. The computer contained files with lists of patients from the UCSF pathology department?s database. The data included information such as patient names, dates of pathology service, health information and, in some cases, Social Security numbers.","3,569"
5/29/2008,"State Street Corp/Investors Financial Services (Boston, MA)","Computer equipment containing personal information on customers and employees of a State Street unit was stolen. The computer equipment was stolen from a vendor hired by Investors Financial Services to provide legal support services. The personal information included names, addresses and social security numbers.","45,500"
5/30/2008,"Circuit Court of Louisville (Louisville, KY) (502) 595-3273","Louisville Metro Police made an arrest, and during that arrest they found 312 stolen court traffic files in that person's possession. All of the files contain personal information of people in Louisville such as, name, address, date of birth and in some cases Social Security numbers and copies of drivers? licenses.",312
5/31/2008,"Pocono Mountain School District (Swiftwater, PA) (570) 873-7121, ext. 10151","A hacker apparently broke into the computers at Pocono Mountain School District and may have tapped into confidential information concerning students and their parents. Information may have included the students' birth dates, Social Security numbers, student IDs, home phones, and the parents' names, phone numbers and emergency phone numbers. ''If you see any unauthorized activity, promptly contract your service provider and or the office of the director of technology at 570-873-7121, ext. 10151,''","11,000"
6/2/2008,"Walter Reed Army Medical Center (Washington, D.C.) (877) 854-8542, ext. 9","Sensitive information on patients at Walter Reed Army Medical Center and other military hospitals was exposed in a security breach. The computer file that was breached did not include information such as medical records, or the diagnosis or prognosis for patients, but may have included names, Social Security numbers, birth dates as well as other information.","1,000"
6/2/2008,"Connecticut Department of Labor (Wethersfield, CT)","Records with confidential information on about 2,100 people have been lost and might have been mistakenly shredded. The files contained copies of letters informing applicants that they were ineligible for the unemployment insurance. They were dated between May 2 and May 20 and contained names, addresses and Social Security numbers.","2,100"
6/4/2008,"AT&T (San Antonio, TX)","A laptop was stolen from the car of an employee. The data on the computer was not encrypted -- a violation of company policy -- and included names, Social Security numbers and in some cases, salary and bonus information.",Unknown
6/6/2008,"Stanford University (Stanford, CA)","Stanford University determined that a university laptop, which was recently stolen, contained confidential personnel data. The university is not disclosing details about the theft as an investigation is under way.","72,000"
6/7/2008,"Southington Water Department (Southington, CT)",Documents with the names and Social Security numbers of 26 people were found scattered by the Quinnipiac River.,26
6/7/2008,"East Tennessee State University (Johnson City, TN)","6,200 people may have had there identities compromised by the theft of a desktop computer. The computer is password protected and files cannot be easily accessed. But there is a small possibility that the information could be compromised.","6,200"
6/9/2008,"University of South Carolina (Columbia, SC)","Several items were stolen from an office in the Moore School of Business. Among the items was a desktop computer. As a result of the computer being stolen, it is possible that some personally identifiable data could have been compromised.","7,000"
6/10/2008,"1st Source Bank (South Bend, IN)",1st Source Bank is replacing ATM cards this month for all its account holders after cyber-thieves accessed an unknown amount of debit-related data.,Unknown
6/10/2008,"University of Utah Hospitals and Clinics (Salt Lake City, UT)","Billing records of 2.2 million patients at the University of Utah Hospitals and Clinics were stolen from a vehicle after a courier failed to immediately take them to a storage center. The records, described only as backup information tapes, contained Social Security numbers of 1.3 million people treated at the university over the last 16 years.",2.2 million
6/10/2008,"University of Florida (Gainesville, FL)","Current and former students had their Social Security numbers, names and addresses accidentally posted online. The information became available when former student employees of the Office for Academic Support and Institutional Service, or OASIS, program created online records of students participating in the program between 2003 and 2005.","11,300"
6/10/2008,"Wheeler's Moving Company (Boca Raton, FL)","Personal files with tax information, Social Security numbers and license numbers, were found in a Boca Raton dumpster.",Unknown
6/11/2008,"Dickson County Board of Education (Dickson, TN)","A computer containing sensitive personal was stolen from the Dickson County Board of Education. The computer belongs to the new director of schools and was loaded with the name and Social Security number of every school employee from the 2006-2007 school year, a total of 850.",850
6/12/2008,"Columbia University (New York, NY)",A student employee had posted a database of students' housing information on a Google-hosted Web site. Their Social Security numbers had been searchable online for the last 16 months.,"5,000"
6/15/2008,"Conn. Department of Administrative Services (Hartford, CT)",Department of Administrative Services posted the Social Security numbers of individual contractors on a state Web site. An audit also uncovered the Social Security numbers of prospective nursing employees accessible on an agency Web site for 19 months until a complaint was lodged.,Unknown
6/18/2008,"Domino's Pizza (Tucson, AZ)",Investigators found credit card numbers blowing in the wind. These piles and papers contained hundreds of old receipts from Domino's Pizza stores. The former owner had been discarding boxes of old records and somehow all those receipts got loose.,Unknown
6/19/2008,"Citibank (New York City, NY)","A Citibank server that processes ATM withdrawals at 7-Eleven convenience stores had been breached. The computer intrusion into the Citibank server led to two Brooklyn men making hundreds of fraudulent withdrawals from New York City cash machines, pocketing at least $750,000 in cash",Unknown
6/19/2008,"Petroleum Wholesale (Houston, TX)","The company dumped hundreds of records in a publicly accessible trash container outside its former headquarters. The records included receipts with customers' names and full credit or debit card numbers, including expiration dates. The records also included returned checks and forms containing customers' names and bank routing, driver's license and Social Security numbers.",Unknown
6/23/2008,"Colt Express Outsourcing Services/CNET Networks (Walnut Creek, CA)","Burglars stole computer systems from the offices of the company that administers the Internet publisher's benefit plans. The computers contained names, birth dates, Social Security numbers and employment information of the beneficiaries of CNET's health insurance plans. CNET was only one of several clients affected. UPDATE (8/26/08): Among the companies whose staffers have been exposed by the Colt break-in in Walnut Creek, Calif.: Google, Bebe Stores, Alston & Bird, and the California Bankers Assn.","75,000"
6/23/2008,"California Department of Consumer Affairs (Sacramento, CA)",A Microsoft Word document was improperly transmitted electronically outside of the department. The document contained the salaries and titles of everyone on the document. It may have also compromised their names and Social Security numbers.,"5,000"
6/23/2008,"Bank Atlantic (Tampa Bay, FL)","Bank Atlantic confirms they had a data loss, involving their MasterCard debit cards. It happened through a local merchant, but at this time, isn't saying which one.",Unknown
6/24/2008,"Southeast Missouri State University (Cape Girardeau, MO) (573) 986-6800 (573) 335-6611, ex.123 lbavolek@semissourian.com",A former employee has been indicted on two charges of identity fraud and one charge of computer trespass after being found in possession of 800 student names and Social Security numbers.,800
6/26/2008,"Texas Department of Public Safety (Austin, TX)","The personal information of 826 state employees was stolen from a Wichita Falls home office. Notices are in the mail to inform the hundreds of victims that their names, home addresses, dates of birth, driver's license and Social Security numbers are in the hands of criminals.",826
7/2/2008,"Baptist Health (Little Rock, AR)","Due to a breach by an unauthorized person in the information systems, there is a possibility that some personal information, such as name, address, date of birth, Social Security number, and reason for coming to Baptist Health. No information in the patient?s ?medical records? and no information about the patient?s diagnosis or prognosis was accessed.","1,800"
7/2/2008,"University of Nebraska at Kearney (Kearney, NE) (308) 865-8950","Officials at the University of Nebraska at Kearney discovered a security breach involving nine university computers. Of the nine computers involved, five contained names and partial or complete Social Security numbers.","2,035"
7/4/2008,"US Army Fort Lewis (Fort Lewis, WA)","A laptop computer that was reported stolen from an Army employee?s truck contained personal information on Fort Lewis soldiers. A 500 GB removable hard drive was also taken in the theft. UPDATE (7/11/08) :A 17-year-old Lacey boy faces a charge of suspicion of possession of stolen property after Tumwater police uncovered items from vehicle prowls, including a stolen Army laptop containing information on Fort Lewis soldiers.",700
7/4/2008,"Clark County Nevada District Court (Las Vegas, NV)","A contracted vendor released personal information on about 380 potential jurors to an employee's private e-mail address. The information provided to the e-mail account could have included names, addresses, Social Security numbers and birth dates.",380
7/7/2008,"Florida Agency for Health Care Administration (Tallahassee, FL)","A security breach in the Organ and Tissue Donor Registry may have exposed thousands of donors' personal information, including their Social Security numbers. Other data included donors' names, addresses, birth dates and driver license numbers.","55,000"
7/19/2008,"Minneapolis Veterans Home (Minneapolis, MN)","A backup computer server stolen from the Minneapolis Veterans Home contained telephone numbers, addresses, next-of-kin information, dates of birth, Social Security numbers and some medical information, including diagnoses for the home's 336 residents.",336
11/24/2008,"Starbucks Corp. (Seattle, WA)","A laptop containing private information on employees was stolen. The information included names, addresses and Social Security numbers.","97,000"
7/8/2008,"LPL Financial (formerly Linsco Private Ledger) (Boston, MA) www.sec.gov/litigation/admin/2008/34-58515.pdf","Hackers obtained clients' unencrypted names, addresses and Social Security numbers from July 17, 2007, to February 15, 2008. They compromised the logon passwords of 14 financial advisers and four assistants. UPDATE (9/11/08) : The U.S. Securities & Exchange Commission (SEC) fined LPL $275,000 and required that LPL strengthen its security safeguards involving customer information. It was found that the hacker(s) placed, or attempted to place, 209 unauthorized trades in 68 customer accounts of several of LPL?s registered representative, for more than $700,000 in trades in securities of 19 different companies. LPL reversed or eliminated the trades and compensated the customers for the resulting trading losses, which totaled approximately $98,900.","10,219"
7/9/2008,"Wichita Radiological Group (Wichita, KS)",A former employee stole patient records before being fired from the Wichita Radiological Group. Tens of thousands of patient records were in the database could have been compromised.,Unknown
7/9/2008,"Wagner Resource Group (McLean, VA)","Sometime late last year, an employee of a McLean investment firm used the online file-sharing network LimeWire. In doing so, he inadvertently opened the private files of his firm to the public. That exposed the names, dates of birth and Social Security numbers of about 2,000 of the firm's clients, including a number of high-powered lawyers and Supreme Court Justice Stephen G. Breyer.","2,000"
7/9/2008,Division of Motor Vehicles Colorado (Colorado),"The DMV regularly sends large batches of personal information over the Internet without encryption and has failed to properly limit access to its database, according to a recent audit. At one point, 33 former DMV employees could access names, addresses, dates of birth and Social Security numbers",3.4 million
7/10/2008,"Williamson County (TN) Schools (Franklin, TN)","Social Security numbers and other personal information of 4,000 children were posted on the Internet.","4,000"
7/14/2008,"Washington Metropolitan Area Transit Authority (Washington, DC)",Metro accidentally published the Social Security numbers of past and present employees on its Web site. The numbers were posted with a solicitation to companies for workers' compensation and risk management services.,"4,700"
7/15/2008,"Weber Law Firm (Houston, TX)","Sheriff's deputies uncovered hundreds of people's personal financial files that had been discarded in a dumpster in northwest Houston. Box after box of records including personal financial records, documents with Social Security numbers, people's medical files and more were found in the dumpster.",Unknown
7/15/2008,"Missouri National Guard (Jefferson City, MO) (888) 526-6664 ext. 7888 (312) 555-9500 ext. 7888 Soldier deployed overseas","The Missouri National Guard has called for a criminal investigation after it learned that the personal information of as many as 2,000 soldiers had been breached. The Guard would not release how the personal information had been taken -- whether by computer hackers or other means -- because it has asked for a full law enforcement investigation into the matter.","2,000"
7/15/2008,"University of Texas at Austin (Austin, TX)","The personal information of University of Texas students and faculty has been exposed on the Internet. An independent watchdog discovered more than five dozen files containing confidential graduate applications, test scores, and Social Security numbers. The files were inadvertently posted by at least four different UT professors to a file server for the School of Biological Sciences.","2,500"
7/16/2008,"Greensboro Gynecology Associates (Greensboro, NC)","A backup tape of patient information was stolen from an employee who was taking the tape to an off-site storage facility for safekeeping. The stolen information included patients' names, addresses, Social Security numbers, employers, insurance companies, policy numbers and family members.","47,000"
7/16/2008,"Indiana State University (Terre Haute, IN)","A password-protected laptop computer containing personal information for current and former Indiana State University students was stolen. The laptop contained data for students who took economics classes from 1997 through the spring semester 2008. The information includes names, grades, e-mail addresses and student identification numbers and in some cases Social Security numbers. UPDATE (7/22/08) :The laptop computer was mailed anonymously back to the professor it was stolen from six days after it was stolen along with other personal items.","2,500"
7/17/2008,"Bristol-Myers Squibb (Jacksonville, FL)","A backup computer-data tape containing employees' personal information, including Social Security numbers, was stolen recently. The backup data tape was stolen while being transported from a storage facility. The information on the tapes included names, addresses, dates of birth, Social Security numbers and marital status, and in some cases bank-account information. Data for some employees' family members also were on the tape.","42,000"
7/17/2008,"University of Maryland (College Park, MD)",University of Maryland accidentally released the addresses and Social Security numbers of thousands of students. A brochure with on-campus parking information was sent by U.S. Mail to students. The University discovered the labels on the mailing had the students' Social Security numbers on it.,"23,000"
7/17/2008,"Department of Consumer Affairs (Sacramento, CA)","A Consumer Affairs personnel specialist in Sacramento, emailed an alpha personnel file containing names and Social Security numbers of the department's more than 5,000 staff to a personal Yahoo email account at the end of the day, her last day at the department.","5,000"
7/23/2008,"San Francisco Human Services Department (San Francisco, CA)","Potentially thousands of files contaning personal information was exposed after a San Francisco agency left confidential files in unsecured curbside garbage and recycling bins. In some cases entire case files were discarded. Blown up copies of social security cards, driver's licenses, passports, bank statements and other sensitive personal information were all left in these unlocked bins.",Unknown
7/24/2008,"Village of Tinley Park (Chicago, IL)",Computer backup tapes that contain thousands of Social Security numbers of Tinley Park residents have been lost. The tapes containing information from as long ago as 15 years were lost while being transferred from the village hall to another site within the Chicago suburb.,"20,400"
7/24/2008,"Saint Mary's Regional Medical Center (Reno, NV)","A unauthorized person may have accessed the Saint Mary's database. The database, used for Saint Mary's health education classes and wellness programs, contained personal information such as names and addresses, limited health information and some Social Security numbers. The database did not contain medical records or credit card information.","128,000"
7/24/2008,"Hillsborough Community College (Tampabay Bay, FL)","Hillsborough Community College warned its employees to monitor their bank accounts because an HCC programmer's laptop was stolen from a hotel parking lot in Georgia. The programmer had been working on a payroll project for a group of employees using their names, bank-routing numbers, retirement information and Social Security numbers.","2,000"
7/24/2008,"University of Houston (Houston, TX)",The names and Social Security numbers of University of Houston students were inadvertently posted on the Internet for more than two years. The posting occurred when a math department lecturer posted student grades on a UH Web server in October 2005.,259
7/25/2008,"Grady Memorial Hospital (Atlanta, GA)","Hospital records were stolen. It remains unknown how many patient records were stolen, which patients were affected or how the records were stolen. The records pertained to recorded physician comments that Grady sent to a vendor to transcribe into medical notes. The records were stolen from a subcontractor employed by the vendor.",Unknown
7/25/2008,"Ohio University (Columbus, OH) www.ohiocore.org/answers (866) 437-8698.","A clerical error led to the online posting of the names and Social Security numbers of people who spoke at Ohio University's Centers for Osteopathic Research and Education. A spreadsheet that contained the information had been accessible since March 20 and was discovered when a nurse found the information last week while conducting online research. In addition to names and Social Security numbers, the spreadsheet included contact numbers, addresses, their speaking topics and federal employer identification numbers.",492
7/26/2008,"Connecticut College/Wesleyan University/Trinity College (Middletown, CT)","A Connecticut College library system was breached by hackers apparently looking to set up chat rooms or send spam e-mails. The systems database included the names, addresses and Social Security or driver's license numbers of approximately 2,800 Connecticut College library patrons, 12 Wesleyan University patrons and three from Trinity.",2815
